,Job Name,Size,Media Name,Copy,Total Print Time,Material Width (in),Print Width (in),Esitmated Material Length (in),Material Area (in),Extra for Lead in,Print Length (in),Print Area (in),Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft,Material Type,Post Processing,Print Job Type,Material Waste,Above Waste Allowance
18,Band Craft Fair Date Decals 2024 NEW   11-11-24 + KUMC Decal December 7th_INT30.eps,6762042.0,Generic Vinyl II HD,1.0,0:12:00,30.0,27.25,66.29173227999999,1988.7519683999997,10,56.29173228,1533.94970463,0.064,2.296,1.735,0.313,0.792,0.14,0.811,6.151,0.5774270155,Intermediate White,Not Laminated,Multi Print Job,0.2286872727200362,0
19,#68 Side Case Decal 11-11-24_HPW30.eps,5192274.0,3M™ IJ180Cv3,1.0,0:06:00,30.0,11.94,19.736220472,592.08661416,10,9.736220472,116.25047243567998,0.019,0.069,0.008,0.003,0.036,0.031,0.029,0.195,0.2414646019,High Performance White,Not Laminated,Single Print Job,0.8036596848239749,1
20,#68 Side Case Decal 11-11-24_HPW30.eps,5192274.0,3M™ IJ180Cv3,1.0,0:04:00,30.0,11.94,21.944094489999998,658.3228346999999,10,11.94409449,142.6124882106,0.019,0.068,0.008,0.003,0.036,0.031,0.029,0.194,0.1958203224,High Performance White,Not Laminated,Single Print Job,0.7833699809674853,1
21,American Eagle truck door Mac 204  11 8 24_HPW30_LAMI.eps,14578902.0,3M™ IJ180Cv3,1.0,0:14:00,30.0,25.76,71.69448819,2150.8346457000002,30,41.69448819,1074.0500157744002,0.085,0.431,0.293,0.076,0.42,0.214,0.321,1.84,0.2466562327,High Performance White,Laminated,Single Print Job,0.5006357099920877,1
22,Banner_BAN38.pdf,90170308.0,Generic Banner II,1.0,0:25:00,38.0,122.0,131.7661417,5007.113384599999,10,121.7661417,14855.469287400001,12.16,2.556,4.427,1.942,8.259,7.495,4.854,41.693,0.4041469093,Banner,Not Laminated,Single Print Job,-1.9668729558012101,0
23,Banner_BAN38.pdf,90170308.0,Generic Banner II,1.0,0:35:00,38.0,122.0,131.7661417,5007.113384599999,10,121.7661417,14855.469287400001,12.16,2.556,4.427,1.942,8.259,7.495,4.854,41.693,0.4041469093,Banner,Not Laminated,Single Print Job,-1.9668729558012101,0
24,FERROUS METALS RUSH   11-8-24_INT54.eps,5675310.0,Generic Vinyl II,1.0,0:04:00,54.0,49.22,25.56929134,1380.74173236,10,15.56929134,766.3205197548,0.226,0.218,0.009,1.169,0.649,0.421,0.435,3.127,0.5875730325,Intermediate White,Not Laminated,Single Print Job,0.4449935843939584,1
25,SOLD  BURST Need 4  11-7-24 + Knights Trivia Banner Date Change NEW  11-5-24_INT30.eps,4265130.0,Generic Vinyl II HD,1.0,0:05:00,30.0,27.33,23.277952759999998,698.3385827999999,10,13.27795276,362.8864489308,0.019,0.487,0.483,0.069,0.172,0.038,0.033,1.301,0.5162026649,Intermediate White,Not Laminated,Multi Print Job,0.48035743997445934,1
26,St Dominic HOFF Heating decal 11 20 24 + Bommarito PC 360 lc Loader 10 2 23_HPW54_LAMI.eps,5755322.0,3M™ IJ180Cv3,1.0,0:36:00,54.0,47.89,189.7917323,10248.7535442,30,159.7917323,7652.426059847,1.681,8.585,7.336,7.337,6.085,2.426,1.628,35.078,0.6601019675,High Performance White,Laminated,Multi Print Job,0.25333104881054735,1
27,Bommarito PC 360 lc Loader 10 2 23 + Amal QR Code with a face_HPW54_LAMI.eps,9776090.0,3M™ IJ180Cv3,1.0,0:46:00,54.0,51.46,160.4862205,8666.255907,30,130.4862205,6714.82090693,2.191,5.546,4.356,9.541,5.144,3.163,2.17,32.111,0.6886467601,High Performance White,Laminated,Multi Print Job,0.22517624923743218,0
28,2x - PFG Hardhat Sticker Need 150 2-22-24_INT30.eps,351198314.0,Generic Vinyl II HD,1.0,0:07:00,30.0,28.74,33.708267719999995,1011.2480315999999,10,23.70826772,681.3756142727999,0.032,2.32,1.317,0.639,1.107,0.21,1.333,6.958,1.470697645,Intermediate White,Not Laminated,Single Print Job,0.32620327260887205,1
29,2x - PFG Hardhat Sticker Need 150 2-22-24_INT30.eps,351198314.0,Generic Vinyl II HD,2.0,0:12:00,30.0,28.74,57.41653543,1722.4960629000002,10,47.41653543,1362.7512282582,0.063,4.64,2.635,1.278,2.215,0.421,2.666,13.918,1.470909012,Intermediate White,Not Laminated,Single Print Job,0.20885088935189355,0
30,Family Tree_121_BAN63.eps,29667546.0,Generic Banner II,1.0,0:42:00,63.0,50.01,84.01377953,5292.86811039,10,74.01377953,3701.4291142952993,0.002,0.213,1.015,0.071,1.338,0.253,0.364,3.256,0.1266615012,Banner,Not Laminated,Single Print Job,0.30067611036267383,1
31,A blessing for a New Home_THP30.eps,28444074.0,Generic Paper,1.0,0:12:00,30.0,27.53,30.98582677,929.5748030999999,10,20.98582677,577.7398109781,0.033,0.02,0.0,0.191,0.026,0.027,0.0,0.297,0.07403296699,Thick Paper/ Heavy Paper,Not Laminated,Single Print Job,0.37849024193489356,1
32,Blood Drive_BAN38.eps,7082722.0,Generic Banner II,1.0,0:18:00,38.0,32.01,54.01377953,2052.52362214,10,44.01377953,1408.8810827553,0.061,1.113,0.99,0.605,1.097,0.597,0.749,5.212,0.5326492082,Banner,Not Laminated,Single Print Job,0.31358593511027466,1
33,Blood Drive_BAN38.eps,7082722.0,Generic Banner II,1.0,0:19:00,38.0,32.01,54.01377953,2052.52362214,10,44.01377953,1408.8810827553,0.061,1.113,0.99,0.605,1.097,0.597,0.749,5.212,0.5326492082,Banner,Not Laminated,Single Print Job,0.31358593511027466,1
