,Job Name,Size,Media Name,Copy,Total Print Time,Material Width (in),Print Width (in),Esitmated Material Length (in),Material Area (in),Extra for Lead in,Print Length (in),Print Area (in),Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft,Material Type,Post Processing,Print Job Type,Material Waste,Above Waste Allowance
77,v2_50 yard drivign range sign_HPC54.eps,6489074.0,Generic Vinyl II HD,1.0,0:10:00,54.0,32.93,42.93031496,2318.23700784,10,32.93031496,1084.3952716328,0.174,1.083,0.77,0.707,0.643,0.313,0.417,4.107,0.545375251,High Performance Clear,Not Laminated,Single Print Job,0.5322327838070461,1
78,AAA Plumbing Side and Rear Perfs FINAL 12-10-24_PERF54.eps,5996190.0,Generic Vinyl II HD,1.0,0:21:00,54.0,48.72,69.48622047,3752.2559053800005,10,59.48622047,2898.1686612984,0.226,0.813,0.624,1.158,0.821,0.42,0.405,4.467,0.2219404895,Perforated,Not Laminated,Single Print Job,0.22761966817268686,0
79,Stuckey and CO 180 12-9-24_RUB36.eps,1559714.0,Generic Paper,1.0,0:03:00,36.0,25.06,14.472440944999999,521.0078740199999,10,4.472440945,112.07937008169999,0.007,0.021,0.037,0.018,0.081,0.044,0.017,0.225,0.2891326368,Roll-up banner,Not Laminated,Single Print Job,0.7848797001532503,1
80,50 yard drivign range sign_HPC54.eps,6526730.0,Generic Vinyl II HD,1.0,0:10:00,54.0,32.93,42.93031496,2318.23700784,10,32.93031496,1084.3952716328,0.182,1.094,0.823,0.707,0.801,0.388,0.43,4.425,0.5876029914,High Performance Clear,Not Laminated,Single Print Job,0.5322327838070461,1
81,hp clear print reverse backed with white_HPC54.eps,6432194.0,Generic Vinyl II HD,1.0,0:17:00,54.0,34.25,44.25,2389.5,10,34.25,1173.0625,0.083,0.029,0.093,0.001,0.216,0.169,0.07,0.661,0.08114145666,High Performance Clear,Not Laminated,Single Print Job,0.5090761665620422,1
82,5x7 Sponsor Healthy Mind Counseling 11-25-24_BAN63.eps,5791174.0,Generic Banner II,1.0,0:25:00,63.0,62.01,96.48622047,6078.63188961,10,86.48622047,5363.0105313447,0.162,0.166,0.583,0.039,1.219,1.345,0.676,4.19,0.1124971178,Banner,Not Laminated,Single Print Job,0.11772737208984263,0
83,5x7 Sponsor Crave Cookie 11-25-24_BAN63.eps,43067674.0,Generic Banner II,1.0,0:24:00,63.0,62.0,96.47244094,6077.76377922,10,86.47244094,5361.29133828,1.487,3.156,7.725,12.856,13.885,10.101,13.376,62.586,1.681009934,Banner,Not Laminated,Single Print Job,0.11788421975030261,0
84,5x7 Sponsor Baner Chris Rosenthal FINAL 12-2-24_BAN63.eps,12770206.0,Generic Banner II,1.0,0:30:00,63.0,62.01,96.48622047,6078.63188961,10,86.48622047,5363.0105313447,0.951,2.437,0.456,0.591,2.476,2.191,2.266,11.368,0.3052189104,Banner,Not Laminated,Single Print Job,0.11772737208984263,0
85,Midwest Gas Ford Pick Up 12 3 24_HPW36_LAMI.eps,6590630.0,3M™ IJ180Cv3,1.0,0:16:00,36.0,33.46,97.51377953,3510.4960630799997,30,67.51377953,2259.0110630738,0.369,2.087,0.953,0.093,1.172,0.623,0.858,6.155,0.3923689898,High Performance White,Laminated,Single Print Job,0.3564980497110103,1
86,Alamo banner_BAN63.eps,5647878.0,Generic Banner II,1.0,0:07:00,63.0,54.25,36.0,2268.0,10,26.0,1410.5,4.916,1.011,1.757,0.0,3.806,2.599,0.622,14.711,1.501878322,Banner,Not Laminated,Single Print Job,0.37808641975308643,1
87,Brook 40th 2x3 Sign Final 12-4-24_BAN38_FLL.eps,111206978.0,Generic Banner II,1.0,0:06:00,38.0,38.0,36.01377953,1368.52362214,10,26.01377953,988.52362214,0.13,0.505,1.816,0.358,1.84,1.315,1.371,7.335,1.127863791,Banner,Not Laminated,Single Print Job,0.27767149492515375,1
88,P2_SVDP Price Change NEW Add Ons 12-4-24_INT30.eps,3751802.0,Generic Vinyl II HD,1.0,0:05:00,30.0,24.86,20.68070866,620.4212598,10,10.68070866,265.52241728760004,0.139,0.346,0.317,0.014,0.31,0.14,0.182,1.448,0.7852572934,Intermediate White,Not Laminated,Single Print Job,0.572028822201879,1
89,SVDP Price Change NEW Add Ons 12-4-24_INT30.eps,6088370.0,Generic Vinyl II HD,1.0,0:06:00,30.0,24.94,29.54173228,886.2519684,10,19.54173228,487.37080306320007,0.139,0.49,0.607,0.017,0.509,0.162,0.255,2.179,0.6437080201,Intermediate White,Not Laminated,Single Print Job,0.4500764788787125,1
90,SSM Blue Pantone 281 v2_12.04.24_DN48.eps,6405122.0,Generic Vinyl II HD,1.0,0:30:00,48.0,45.75,136.0047244,6528.226771199999,10,126.0047244,5764.7161413,11.103,18.859,0.0,4.386,13.272,11.896,16.232,75.748,1.892150755,Day Night,Not Laminated,Single Print Job,0.11695528612276629,0
91,2x8 banner final 12-4-24_BAN38.eps,6956114.0,Generic Banner II,1.0,0:20:00,38.0,26.0,108.47204724,4121.9377951199995,10,98.47204724,2560.2732282399998,0.495,0.244,0.028,0.119,0.542,0.468,0.503,2.399,0.134929349,Banner,Not Laminated,Single Print Job,0.37886660219105417,1
92,Year of the Dragon_BAN38_FLL.eps,21561166.0,Generic Banner II,1.0,0:12:00,38.0,38.0,36.5,1387.0,10,26.5,1007.0,0.031,0.944,0.917,0.307,1.053,0.422,0.766,4.44,0.6772470391,Banner,Not Laminated,Single Print Job,0.273972602739726,1
93,WCCU 9534 Manchester_Print Logo_TW30_LAMI.eps,6666030.0,Generic Vinyl II HD,1.0,0:26:00,30.0,24.07,97.55551181,2926.6653542999998,30,67.55551181,1626.0611692667,1.269,0.655,0.635,0.011,0.623,0.421,0.268,3.882,0.3437905469,Translucent white,Laminated,Single Print Job,0.44439798459444246,1
94,Eclipse Logo Final NEED 2 12-3-24_HPW36_LAMI.eps,5727450.0,3M™ IJ180Cv3,1.0,0:08:00,36.0,28.44,45.44448819,1636.00157484,30,15.44448819,439.2412441236,0.051,0.936,0.62,0.001,0.658,0.214,0.113,2.593,0.8499617369,High Performance White,Laminated,Single Print Job,0.7315153904014075,1
95,Vetta The Flood Team 11 20 24_HTV54_LAMI.eps,147369050.0,Generic Vinyl II HD,1.0,0:54:00,54.0,43.24,199.7082677,10784.2464558,30,169.7082677,7338.185495348,14.989,16.65,0.37,3.044,14.948,12.816,14.753,77.57,1.522332485,High Tack Vinyl,Laminated,Single Print Job,0.31954582775680485,1
96,p2_Miracle-Ear Door_HPW54_LAMI.eps,5871134.0,3M™ IJ180Cv3,1.0,0:05:00,54.0,49.85,39.486220472,2132.255905488,30,9.486220472,472.8880905292,0.724,0.001,0.238,0.001,0.187,0.469,0.081,1.701,0.5180072872,High Performance White,Laminated,Single Print Job,0.7782216996974516,1
97,Berthhold Circle sign 11 6 24_HPW54_LAMI.eps,48503702.0,3M™ IJ180Cv3,1.0,0:16:00,54.0,48.56,78.37519685000001,4232.260629900001,30,48.37519685,2349.0995590360003,0.265,3.057,4.011,0.622,4.106,1.058,1.733,14.852,0.9105130005,High Performance White,Laminated,Single Print Job,0.4449539467299999,1
98,Harlan Chevy Suburban contracting Masonry 12.2.24_2 set of 2_HPW54_LAMI.eps,8037702.0,3M™ IJ180Cv3,2.0,0:29:00,54.0,49.99,132.1850394,7137.9921276,30,102.1850394,5108.230119606,0.567,1.594,1.186,1.926,2.911,1.575,2.206,11.965,0.3373191511,High Performance White,Laminated,Single Print Job,0.2843603595674551,1
99,Kali_05_INT54_v3-01.jpg,2229875.0,Generic Vinyl II HD,1.0,0:04:00,54.0,51.47,14.088976378,760.804724412,10,4.088976378,210.45961417566,0.001,0.025,0.026,0.002,0.016,0.005,0.006,0.081,0.05541808338,Intermediate White,Not Laminated,Single Print Job,0.7233723616289094,1
100,Kali_05_INT54_v3.jpg,10297542.0,Generic Vinyl II HD,1.0,0:04:00,54.0,51.47,13.945669291,753.066141714,10,3.945669291,203.08359840777,0.006,0.186,0.191,0.014,0.113,0.032,0.046,0.588,0.4169056,Intermediate White,Not Laminated,Single Print Job,0.7303243537871109,1
101,Kali_04_INT54.jpg,217497252.0,Generic Vinyl II HD,1.0,0:15:00,54.0,51.47,63.44566929,3426.06614166,10,53.44566929,2750.8485983563,0.131,4.284,4.395,0.312,2.598,0.74,1.044,13.504,0.7068560732,Intermediate White,Not Laminated,Single Print Job,0.19708245999493257,0
102,Kali_03_INT54.jpg,216858631.0,Generic Vinyl II HD,1.0,0:16:00,54.0,51.47,63.44566929,3426.06614166,10,53.44566929,2750.8485983563,0.131,4.29,4.4,0.312,2.599,0.74,1.044,13.516,0.7074842036,Intermediate White,Not Laminated,Single Print Job,0.19708245999493257,0
103,Kali_02_INT54.jpg,218907249.0,Generic Vinyl II HD,1.0,0:13:00,54.0,51.47,63.44566929,3426.06614166,10,53.44566929,2750.8485983563,0.131,4.25,4.367,0.312,2.591,0.74,1.043,13.434,0.7031919792,Intermediate White,Not Laminated,Single Print Job,0.19708245999493257,0
104,Kali_01_INT54.jpg,218363492.0,Generic Vinyl II HD,1.0,0:21:00,54.0,51.47,63.44566929,3426.06614166,10,53.44566929,2750.8485983563,0.131,4.256,4.372,0.312,2.592,0.74,1.043,13.446,0.7038201096,Intermediate White,Not Laminated,Single Print Job,0.19708245999493257,0
105,Miracle-Ear Door_HPW60_LAMI.eps,6859878.0,3M™ IJ180Cv3,1.0,0:10:00,60.0,57.85,55.88897638,3353.3385828,30,25.88897638,1497.677283583,0.723,0.001,0.238,0.001,0.187,0.469,0.081,1.7,0.1634620031,High Performance White,Laminated,Single Print Job,0.5533772547559286,1
106,Enterprise Excuse Dust_HPW60.eps,7105962.0,3M™ IJ180Cv3,1.0,0:25:00,60.0,57.49,78.20826772,4692.496063199999,10,68.20826772,3921.2933112227997,0.749,0.595,1.267,0.115,1.621,1.134,1.148,6.629,0.2434516427,High Performance White,Not Laminated,Single Print Job,0.16434808715668603,0
107,Coughing Cardinal 9am to 9pm hours 11 25 24_HPW30_LAMI.eps,6547542.0,3M™ IJ180Cv3,1.0,0:07:00,30.0,26.5,51.47244094,1544.1732282,30,21.47244094,569.0196849099999,0.0,0.949,0.607,0.0,0.267,0.0,0.006,1.829,0.4628660833,High Performance White,Laminated,Single Print Job,0.6315052776991281,1
108,St Dominic HOFF Heating decal 11 20 24_HPW24.eps,5456838.0,3M™ IJ180Cv3,2.0,0:40:00,24.0,25.24,230.0740157,5521.7763767999995,10,220.0740157,5554.668156268,0.836,10.82,9.669,3.646,6.251,1.204,0.761,33.187,0.8604867387,High Performance White,Not Laminated,Single Print Job,-0.005956738778157833,0
109,MediEquip Damaged 2022 Nissan Side Final 12 22 24 + door hours update 12 19 24_HPW36_LAMI.eps,114062402.0,3M™ IJ180Cv3,1.0,0:25:00,36.0,32.37,117.38858268,4225.98897648,30,87.38858268,2828.7684213516,4.516,5.996,0.663,0.666,3.659,3.141,3.922,22.563,1.148411422,High Performance White,Laminated,Multi Print Job,0.33062569800932196,1
110,2003-2502_Shorehaven_v2_INT30.eps,818917446.0,Generic Vinyl II HD,1.0,0:32:00,30.0,27.12,174.9165354,5247.496061999999,10,164.9165354,4472.536440047999,4.196,5.431,0.904,1.125,5.843,4.693,4.86,27.052,0.8708253704,Intermediate White,Not Laminated,Single Print Job,0.1476817920005521,0
111,1503-2002_Shorehaven_v2_INT30.eps,819248114.0,Generic Vinyl II HD,1.0,0:28:00,30.0,27.12,174.9165354,5247.496061999999,10,164.9165354,4472.536440047999,4.198,5.433,0.905,1.126,5.847,4.696,4.865,27.07,0.8714048047,Intermediate White,Not Laminated,Single Print Job,0.1476817920005521,0
112,1002-1502_Shorehaven_v2_INT30.eps,820792246.0,Generic Vinyl II HD,1.0,0:38:00,30.0,27.12,174.9165354,5247.496061999999,10,164.9165354,4472.536440047999,4.208,5.446,0.907,1.127,5.862,4.708,4.878,27.136,0.8735293971,Intermediate White,Not Laminated,Single Print Job,0.1476817920005521,0
113,Pali Grill banner_BAN38_FLL.eps,6287294.0,Generic Banner II,1.0,0:13:00,38.0,38.0,84.01377953,3192.5236221399996,10,74.01377953,2812.5236221399996,0.052,5.184,4.213,0.617,1.766,0.528,0.987,13.347,0.8684050788,Banner,Not Laminated,Single Print Job,0.11902809343828125,0
114,501-1001_Shorehaven_v2_INT30.eps,821479558.0,Generic Vinyl II HD,1.0,0:37:00,30.0,27.12,174.9165354,5247.496061999999,10,164.9165354,4472.536440047999,4.203,5.44,0.906,1.125,5.852,4.701,4.868,27.095,0.8722095746,Intermediate White,Not Laminated,Single Print Job,0.1476817920005521,0
115,1-500_Shorehaven_v2_INT30.eps,815718194.0,Generic Vinyl II HD,1.0,0:40:00,30.0,27.12,174.9165354,5247.496061999999,10,164.9165354,4472.536440047999,4.19,5.422,0.904,1.123,5.836,4.687,4.853,27.015,0.869634311,Intermediate White,Not Laminated,Single Print Job,0.1476817920005521,0
116,Number Decals 1-10 12-19-24_RFVW48.eps,7029930.0,Generic Vinyl I HD,1.0,0:30:00,48.0,37.99,174.3334646,8368.0063008,10,164.3334646,6243.0283201540005,3.321,4.586,23.376,9.848,6.39,1.902,0.873,50.296,1.160241364,Reflective White Vinyl,Not Laminated,Single Print Job,0.2539407720621394,1
117,Xmas 25 posters.eps,47083430.0,PMP3 : Premium Matte Paper (PCM),1.0,0:26:00,,71.07,81.06929134,,10,71.06929134,5050.8945355338,0.548,3.932,4.61,0.251,0.717,0.858,0.321,11.237,0.3203678326,,Not Laminated,Single Print Job,,0
118,driving range signs_HPC54_LAMI.eps,6668462.0,Generic Vinyl II HD,1.0,0:36:00,54.0,32.93,168.2224409,9084.0118086,30,138.2224409,4551.6649788370005,0.674,4.316,3.075,2.734,2.511,1.211,1.614,16.135,0.5104544793,High Performance Clear,Laminated,Single Print Job,0.4989366950703591,1
119,Godzilla.eps,77753186.0,Generic Vinyl II HD,1.0,0:08:00,,22.35,18.861023621999998,,10,8.861023622,198.0438779517,0.065,0.121,0.108,0.182,0.127,0.124,0.085,0.812,0.5904978294,,Not Laminated,Single Print Job,,0
120,Final Bar Light Decal  RUSH   12-19-24_CUSTORD_LAMI.eps,10124290.0,Generic Backlit,1.0,0:17:00,0.0,28.12,42.63858268,0.0,30,12.63858268,355.3969449616,0.079,0.454,1.117,0.373,0.674,0.257,0.224,3.178,1.28744451,Custom Ordered,Laminated,Single Print Job,-inf,0
121,xmas mags_MAG24.eps,374854230.0,Generic Vinyl II HD,1.0,0:09:00,24.0,20.69,28.95826772,694.99842528,10,18.95826772,392.2465591268,0.104,0.401,0.526,0.314,0.255,0.218,0.215,2.033,0.7461992208,Magnets,Not Laminated,Single Print Job,0.4356151829138717,1
122,Wright Const Bidens America Rescue Plan 4x8 12 9 24_INT54_LAMI.eps,5460670.0,Generic Vinyl II HD,1.0,0:33:00,54.0,49.22,127.69448819,6895.50236226,30,97.69448819,4808.5227087118,15.521,25.385,0.086,0.002,5.104,8.459,0.136,54.693,1.637813713,Intermediate White,Laminated,Single Print Job,0.30265810145617766,1
123,Missing_East_12.11.24_INT30.eps,18825850.0,Generic Vinyl II HD,1.0,0:05:00,30.0,26.24,24.26377953,727.9133859,10,14.26377953,374.2815748672,0.114,0.069,0.039,0.03,0.172,0.131,0.166,0.721,0.2774395585,Intermediate White,Not Laminated,Single Print Job,0.48581578232081246,1
124,P2_All Clings WINTER PART-2   25 total need 6 of each - 150  12-16-24_EDC54.eps,419640254.0,Generic Vinyl II HD,4.0,0:22:00,54.0,47.01,85.9507874,4641.3425196,10,75.9507874,3570.446515674,0.48,2.039,3.4,2.0,4.304,1.652,2.675,16.55,0.6674258806,Ez Dot (Clear),Not Laminated,Single Print Job,0.23072979410670424,0
125,Name Plate Golf Cart Decals 12-12-24_EDC54.eps,7606990.0,Generic Vinyl II HD,1.0,0:08:00,54.0,42.72,32.94448819,1779.0023622600002,10,22.94448819,980.1885354768,0.257,1.095,0.654,0.037,0.39,0.237,0.277,2.947,0.4329245333,Ez Dot (Clear),Not Laminated,Single Print Job,0.449023477275436,1
126,Stack Avondale PHX Hardhat Sticker 0601-1001 1-7-25_INT30.eps,716062158.0,Generic Vinyl II HD,1.0,0:39:00,30.0,27.12,174.9165354,5247.496061999999,10,164.9165354,4472.536440047999,5.872,4.611,0.298,0.46,5.773,4.724,3.898,25.636,0.8252432055,Intermediate White,Not Laminated,Single Print Job,0.1476817920005521,0
127,Honey Nail Temp Banner_BAN38.eps,45201162.0,Generic Banner II,1.0,0:23:00,38.0,32.0,126.4720472,4805.9377936,10,116.4720472,3727.1055104,2.703,1.347,3.285,14.596,8.285,10.519,8.515,49.25,1.902817073,Banner,Not Laminated,Single Print Job,0.22447903604509112,0
128,5x7 State Farm Willet WHITE 1-2-25_BAN63.eps,8570758.0,Generic Banner II,1.0,0:24:00,63.0,62.01,96.48622047,6078.63188961,10,86.48622047,5363.0105313447,0.125,2.419,2.94,0.569,4.224,1.828,1.932,14.037,0.376878769,Banner,Not Laminated,Single Print Job,0.11772737208984263,0
129,5x7 State Farm Willet RED  1-2-25_BAN63.eps,8735098.0,Generic Banner II,1.0,0:24:00,63.0,62.0,96.47244094,6077.76377922,10,86.47244094,5361.29133828,0.075,20.165,19.486,0.179,9.272,1.463,1.583,52.223,1.402668037,Banner,Not Laminated,Single Print Job,0.11788421975030261,0
130,5x7 Sponsor GO PLAY 1-2-25_BAN63.eps,10912630.0,Generic Banner II,1.0,0:23:00,63.0,62.01,96.48622047,6078.63188961,10,86.48622047,5363.0105313447,0.321,3.372,5.159,0.0,3.033,2.228,0.383,14.496,0.3892024389,Banner,Not Laminated,Single Print Job,0.11772737208984263,0
131,5x7 Diamond Family 1-2-25_BAN63.eps,14305690.0,Generic Banner II,1.0,0:25:00,63.0,62.01,96.48622047,6078.63188961,10,86.48622047,5363.0105313447,0.056,0.21,0.365,0.242,0.999,0.688,0.804,3.364,0.09031988165,Banner,Not Laminated,Single Print Job,0.11772737208984263,0
132,Apex Gkass Logo1 7 25_HPW36_LAMI.eps,6093958.0,3M™ IJ180Cv3,1.0,0:09:00,36.0,32.68,51.63897638,1859.0031496800002,30,21.63897638,707.1617480983999,0.364,0.32,0.028,0.001,0.654,0.476,0.119,1.962,0.399520022,High Performance White,Laminated,Single Print Job,0.6196016406856937,1
133,P5_Truck_1_BSH Truck Wrap_R2P_HPW36_LAMI.eps,6015938.0,3M™ IJ180Cv3,1.0,0:21:00,36.0,34.96,124.70826772,4489.49763792,30,94.70826772,3311.0010394912,1.671,2.746,1.121,9.867,8.123,4.61,7.964,36.102,1.570203557,High Performance White,Laminated,Single Print Job,0.26250077257525883,1
134,P5_Truck_2_BSH Truck Wrap_R2P_HPW36_LAMI.eps,18176434.0,3M™ IJ180Cv3,1.0,0:21:00,36.0,34.99,124.70826772,4489.49763792,30,94.70826772,3313.8422875228002,1.586,2.609,1.209,9.103,7.975,4.478,7.365,34.325,1.491739547,High Performance White,Laminated,Single Print Job,0.2618679071055008,1
135,P2_12x18 Auth Park Signs 12-31-24_HPW30.eps,6847274.0,3M™ IJ180Cv3,1.0,0:09:00,30.0,25.47,35.472047239999995,1064.1614172,10,25.47204724,648.7730432028,0.528,0.175,0.263,2.303,0.937,0.761,0.481,5.448,1.209126913,High Performance White,Not Laminated,Single Print Job,0.39034338896646104,1
136,Truck Front_P1_R2P_HPW54_LAMI.eps,5873698.0,3M™ IJ180Cv3,2.0,0:45:00,54.0,42.35,219.796063,11868.987402,30,189.796063,8037.86326805,3.934,6.464,2.64,23.228,19.122,10.851,18.746,84.985,1.522637273,High Performance White,Laminated,Single Print Job,0.3227844132098776,1
137,P2_Truck_2_BSH Truck Wrap_R2P_HPW54_LAMI.eps,10295978.0,3M™ IJ180Cv3,2.0,2:02:00,54.0,52.22,220.0464567,11882.5086618,30,190.0464567,9924.225968874,5.237,10.503,5.941,24.043,24.164,13.881,24.091,107.86,1.564981608,High Performance White,Laminated,Single Print Job,0.16480380941959727,0
138,P1_Truck_2_BSH Truck Wrap_R2P_HPW54_LAMI.eps,10183158.0,3M™ IJ180Cv3,2.0,0:48:00,54.0,51.35,219.796063,11868.987402,30,189.796063,9746.027835050001,5.023,8.556,3.784,28.522,24.259,13.781,23.76,107.685,1.591170417,High Performance White,Laminated,Single Print Job,0.17886610669013492,0
139,P4_Truck_2_BSH Truck Wrap_R2P_HPW54_LAMI.eps,35130234.0,3M™ IJ180Cv3,2.0,0:52:00,54.0,52.22,220.0464567,11882.5086618,30,190.0464567,9924.225968874,4.136,7.437,5.297,18.005,21.875,12.156,16.513,85.419,1.239376636,High Performance White,Laminated,Single Print Job,0.16480380941959727,0
140,P3_Truck_2_BSH Truck Wrap_R2P_HPW54_LAMI.eps,21394206.0,3M™ IJ180Cv3,2.0,0:55:00,54.0,52.22,220.0464567,11882.5086618,30,190.0464567,9924.225968874,4.638,7.991,4.431,23.943,23.433,13.166,20.414,98.016,1.422151282,High Performance White,Laminated,Single Print Job,0.16480380941959727,0
141,P2_Truck_2_BSH Truck Wrap_R2P_HPW54_LAMI.eps,10295978.0,3M™ IJ180Cv3,2.0,0:49:00,54.0,52.22,220.0464567,11882.5086618,30,190.0464567,9924.225968874,5.237,10.503,5.941,24.043,24.164,13.881,24.091,107.86,1.564981608,High Performance White,Laminated,Single Print Job,0.16480380941959727,0
142,P1_Truck_2_BSH Truck Wrap_R2P_HPW54_LAMI.eps,10183158.0,3M™ IJ180Cv3,2.0,0:51:00,54.0,51.35,219.796063,11868.987402,30,189.796063,9746.027835050001,5.023,8.556,3.784,28.522,24.259,13.781,23.76,107.685,1.591170417,High Performance White,Laminated,Single Print Job,0.17886610669013492,0
143,P4_Truck_1_BSH Truck Wrap_R2P_HPW54_LAMI.eps,30060042.0,3M™ IJ180Cv3,2.0,0:49:00,54.0,52.22,220.0464567,11882.5086618,30,190.0464567,9924.225968874,4.393,8.898,6.616,16.765,22.358,12.507,17.45,88.987,1.2911461,High Performance White,Laminated,Single Print Job,0.16480380941959727,0
144,P3_Truck_1_BSH Truck Wrap_R2P_HPW54_LAMI.eps,18095418.0,3M™ IJ180Cv3,2.0,0:48:00,54.0,52.22,220.0464567,11882.5086618,30,190.0464567,9924.225968874,4.748,8.24,4.441,25.069,23.997,13.435,21.286,101.216,1.468581294,High Performance White,Laminated,Single Print Job,0.16480380941959727,0
145,P2_Truck_1_BSH Truck Wrap_R2P_HPW54_LAMI.eps,10070934.0,3M™ IJ180Cv3,2.0,0:49:00,54.0,52.22,220.0464567,11882.5086618,30,190.0464567,9924.225968874,5.229,10.471,5.91,24.073,24.136,13.864,24.063,107.746,1.563327538,High Performance White,Laminated,Single Print Job,0.16480380941959727,0
146,P1_Truck_1_BSH Truck Wrap_R2P_HPW54_LAMI.eps,9978226.0,3M™ IJ180Cv3,2.0,1:04:00,54.0,51.47,220.0464567,11882.5086618,30,190.0464567,9781.691126349,5.032,8.571,3.79,28.575,24.303,13.806,23.802,107.879,1.588064674,High Performance White,Laminated,Single Print Job,0.1767991587672667,0
147,EDITABLE  WWT - Compactor MAGS 12-30-24_MAG24_LAMI.eps,6816194.0,Generic Vinyl II HD,1.0,0:23:00,24.0,18.01,156.4862205,3755.669292,30,126.4862205,2278.016831205,1.934,1.705,0.084,0.028,1.971,1.575,0.735,8.032,0.5076193085,Magnets,Laminated,Single Print Job,0.39344584038391417,1
148,A&A Donuts_Coming soon_01.02.25.eps,6006702.0,Generic Banner II,1.0,0:29:00,,44.01,114.0,,10,104.0,4577.04,0.026,9.547,7.119,0.316,2.425,0.341,1.649,21.423,0.6739392914,,Not Laminated,Single Print Job,,0
149,12x18 Auth Park Signs 12-31-24_HPW30_LAMI.eps,6905726.0,3M™ IJ180Cv3,2.0,0:36:00,30.0,25.47,215.5464567,6466.393701,30,185.5464567,4725.868252149,2.642,0.874,1.314,11.516,4.682,3.805,2.407,27.24,0.8299521963,High Performance White,Laminated,Single Print Job,0.2691647816899604,1
150,Logo with Red Bold Line NEW FINAL 12-30-24_HPW54_LAMI.eps,21651094.0,3M™ IJ180Cv3,1.0,0:10:00,54.0,41.93,66.02795276,3565.50944904,30,36.02795276,1510.6520592268,0.124,1.278,0.812,0.154,0.821,0.341,0.6,4.13,0.3936813439,High Performance White,Laminated,Single Print Job,0.5763152276504169,1
151,CRS van oval logo with phone number need 4_HPW54_LAMI.eps,6740666.0,3M™ IJ180Cv3,1.0,0:22:00,54.0,48.08,110.43070866,5963.25826764,30,80.43070866,3867.1084723727995,1.794,3.529,2.501,6.422,7.416,4.215,7.058,32.935,1.226326373,High Performance White,Laminated,Single Print Job,0.3515108186143958,1
152,Number 2 Decals 1-10 12-19-24_RFVW48.eps,5924622.0,Generic Vinyl II HD,1.0,0:11:00,48.0,44.61,38.583464570000004,1852.0062993600002,10,28.58346457,1275.1083544677,0.328,0.682,3.399,1.683,2.368,0.594,0.595,9.649,1.089651804,Reflective White Vinyl,Not Laminated,Single Print Job,0.31149891071734437,1
153,P1_All Clings WINTER PART-2   25 total need 6 of each - 150  12-16-24_EDC54.eps,969014342.0,Generic Vinyl II HD,1.0,0:16:00,54.0,47.01,51.76377953,2795.24409462,10,41.76377953,1963.3152757052999,0.255,1.201,1.995,1.067,2.475,0.922,1.503,9.418,0.6907107534,Ez Dot (Clear),Not Laminated,Single Print Job,0.2976229591240034,1
154,TB Realty Door Directory 3 NEW Ones  12-23-24_RUB36.eps,4437238.0,Generic Paper,1.0,0:06:00,36.0,23.75,24.05551181,865.9984251599999,10,14.05551181,333.8184054875,0.056,0.155,0.272,0.172,0.26,0.201,0.2,1.316,0.5676858941,Roll-up banner,Not Laminated,Single Print Job,0.6145276991400712,1
155,UES USDOT decal 12 23 24_HPW54_LAMI.eps,7251038.0,3M™ IJ180Cv3,1.0,0:14:00,54.0,50.24,65.70826772000001,3548.2464568800006,30,35.70826772,1793.9833702528001,0.639,0.759,0.198,0.018,1.182,0.858,0.472,4.126,0.3312145291,High Performance White,Laminated,Single Print Job,0.4944028291004726,1
156,SVDP Decal overlay for existing 4x4 sign 12-5-24_HPW54_LAMI.eps,6977858.0,3M™ IJ180Cv3,1.0,0:20:00,54.0,52.13,107.70826772,5816.24645688,30,77.70826772,4050.9319962435998,0.392,6.377,10.611,2.319,9.467,2.052,3.483,34.701,1.23352947,High Performance White,Laminated,Single Print Job,0.30351438401449116,1
157,CRS van oval logo with phone number need 4_HPW54_LAMI.eps,6740666.0,3M™ IJ180Cv3,1.0,0:29:00,54.0,48.08,110.43070866,5963.25826764,30,80.43070866,3867.1084723727995,1.794,3.529,2.501,6.422,7.416,4.215,7.058,32.935,1.226326373,High Performance White,Laminated,Single Print Job,0.3515108186143958,1
158,FINAL   --    Cal or bust Sign 15x20  12-24-24_HTV54.eps,41898254.0,Generic Vinyl II HD,1.0,0:06:00,54.0,21.24,26.70826772,1442.2464568799999,10,16.70826772,354.88360637279993,0.001,0.329,1.069,0.125,0.658,0.068,0.625,2.875,1.166808923,High Tack Vinyl,Not Laminated,Single Print Job,0.7539369192554533,1
159,SafetyCommitteeSticker HOLLYWOOD PRINT 50 12-24-24_INT54.eps,11878590.0,Generic Vinyl II HD,1.0,0:06:00,54.0,50.22,19.263779528,1040.244094512,10,9.263779528,465.22700789616005,0.071,0.207,0.634,0.198,0.323,0.211,0.284,1.928,0.5967424031,Intermediate White,Not Laminated,Single Print Job,0.5527713059362209,1
160,Arch Kidney - Jeff Kelly Homes - 48x19 sign  12-23-24_TW60.eps,7732326.0,Generic Vinyl II HD,1.0,0:27:00,60.0,49.24,88.45826772,5307.496063199999,10,78.45826772,3863.2851025328,0.795,1.638,1.441,1.796,3.685,2.097,3.654,15.106,0.5631084214,Translucent white,Not Laminated,Single Print Job,0.2721077780312954,1
