,Unnamed: 0,REF,Review_Date,Cocoa_Percent,Rating,Company Latitude,Company Logitude,Company_Location_Count,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,clusters,cluster
1120,1120,15,2006,0.73,2.0,50.85,4.47,37,-3.5,10.0,3,1,purple
1121,1121,15,2006,0.75,2.75,50.85,4.47,37,6.6131,0.1864,3,1,purple
1122,1122,24,2006,0.71,3.0,50.85,4.47,37,-66.5897,6.4238,17,1,purple
1123,1123,1526,2015,0.72,2.25,37.09,-95.71,738,-66.5897,6.4238,7,0,pink
1124,1124,1526,2015,0.72,2.75,37.09,-95.71,738,-70.1627,18.7357,5,0,pink
1125,1125,1526,2015,0.72,3.0,37.09,-95.71,738,46.8691,-18.7669,1,0,pink
1126,1126,1526,2015,0.72,3.0,37.09,-95.71,738,-75.0152,-9.189967,5,0,pink
1127,1127,1022,2013,0.75,2.75,37.09,-95.71,738,-75.0152,-9.189967,45,0,pink
1128,1128,1022,2013,0.75,3.5,37.09,-95.71,738,-78.1834,-1.8312,41,0,pink
1129,1129,1295,2014,0.75,3.0,37.09,-95.71,738,-1.0232,7.9465,15,0,pink
1130,1130,1299,2014,0.75,3.0,37.09,-95.71,738,-88.4977,17.1899,2,0,pink
1131,1131,1299,2014,0.75,3.25,37.09,-95.71,738,-75.0152,-9.189967,3,0,pink
1132,1132,837,2012,0.7,3.0,37.09,-95.71,738,-66.5897,6.4238,21,0,pink
1133,1133,841,2012,0.7,3.0,37.09,-95.71,738,-78.1834,-1.8312,41,0,pink
1134,1134,931,2012,0.7,3.0,12.87,-85.21,5,-85.2072,12.8654,1,0,pink
1135,1135,935,2012,0.8,3.25,12.87,-85.21,5,-78.1834,-1.8312,1,0,pink
1136,1136,1454,2015,0.7,3.75,37.09,-95.71,738,-1.0232,7.9465,1,0,pink
1137,1137,1458,2015,0.7,2.75,37.09,-95.71,738,-78.1834,-1.8312,1,0,pink
1138,1138,1458,2015,0.7,3.0,37.09,-95.71,738,-66.5897,6.4238,1,0,pink
1139,1139,1458,2015,0.7,3.5,37.09,-95.71,738,46.8691,-18.7669,1,0,pink
1140,1140,1470,2015,0.7,3.75,37.09,-95.71,738,-70.1627,18.7357,11,0,pink
1141,1141,1876,2016,0.7,3.5,-14.24,-51.93,17,-51.9253,-14.235,1,0,pink
1142,1142,478,2010,0.7,2.5,37.09,-95.71,738,-77.2975,18.1096,8,1,purple
1143,1143,1638,2015,0.7,3.75,-35.68,-71.54,2,-75.0152,-9.189967,1,0,pink
1144,1144,1638,2015,0.7,3.75,-35.68,-71.54,2,-75.0152,-9.189967,1,0,pink
1145,1145,1558,2015,0.7,3.75,56.49,-4.2,10,23.656,-4.0383,2,0,pink
1146,1146,1558,2015,0.75,4.0,56.49,-4.2,10,-75.0152,-9.189967,8,0,pink
1147,1147,1760,2016,1.0,2.75,-40.9,174.89,17,-172.0,-13.8,2,0,pink
1148,1148,1760,2016,0.7,3.5,-40.9,174.89,17,-172.0,-13.8,2,0,pink
1149,1149,1411,2014,0.66,2.75,-40.9,174.89,17,147.3257,-6.314993,1,0,pink
1150,1150,1411,2014,0.7,3.0,-40.9,174.89,17,147.3257,-6.314993,1,0,pink
