,Unnamed: 0,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Latitude,Longitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group
950,994,Madre,Guadalcanal,1940,2017,0.73,U.S.A.,3.5,Solomon Islands,37.09,-95.71,738,most common,Average Amount
951,995,Madre,Puerto Rico,1085,2013,0.7,U.S.A.,2.75,Puerto Rico,37.09,-95.71,738,most common,Average Amount
952,996,Madre,Brazil,1085,2013,0.7,U.S.A.,3.5,Brazil,37.09,-95.71,738,most common,Average Amount
953,997,Madre,"Choobua, Kona",1089,2013,0.7,U.S.A.,2.75,Hawaii,37.09,-95.71,738,most common,Average Amount
954,998,Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,0.7,U.S.A.,2.75,Mexico,37.09,-95.71,738,most common,Average Amount
955,999,Madre,"Hamakua Coast, Kokoleka",991,2012,0.7,U.S.A.,3.25,Hawaii,37.09,-95.71,738,most common,Average Amount
956,1000,Madre,"Criollo, Hawaii",995,2012,0.7,U.S.A.,3.25,Hawaii,37.09,-95.71,738,most common,Average Amount
957,1001,Madre,Kaua'i,995,2012,0.7,U.S.A.,3.5,Hawaii,37.09,-95.71,738,most common,Average Amount
958,1002,Madre,Dominican,672,2011,0.7,U.S.A.,2.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount
959,1003,Madre,Upala,693,2011,0.7,U.S.A.,2.75,Costa Rica,37.09,-95.71,738,most common,Average Amount
960,1004,Madre,"Chiapas, Triple Cacao",607,2010,0.72,U.S.A.,2.75,Mexico,37.09,-95.71,738,most common,Average Amount
961,1005,Maglio,Africa,300,2008,0.75,Italy,2.0,Tanzania,41.87,12.57,54,rare,Average Amount
962,1006,Maglio,Ecuador,308,2008,0.7,Italy,3.0,Ecuador,41.87,12.57,54,rare,Average Amount
963,1007,Maglio,Cuba,308,2008,0.7,Italy,3.25,Cuba,41.87,12.57,54,rare,Average Amount
964,1008,Maglio,Santo Domingo,308,2008,0.7,Italy,3.75,Dominican Republic,41.87,12.57,54,rare,Average Amount
965,1009,Majani,Ecuador,531,2010,0.7,Italy,2.0,Ecuador,41.87,12.57,54,rare,Average Amount
966,1010,Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,0.75,Madagascar,2.75,Madagascar,-18.77,46.87,17,extra rare,Average Amount
967,1011,Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,0.73,Madagascar,3.5,Madagascar,-18.77,46.87,17,extra rare,Average Amount
968,1012,Malagos,"Davao, Mt. Talamo foothills",1121,2013,0.65,Philippines,3.5,Philippines,12.88,121.77,1,extra rare,Average Amount
969,1013,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,0.55,U.S.A.,3.5,Hawaii,37.09,-95.71,738,most common,Light Amount
970,1014,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,0.55,U.S.A.,2.75,Hawaii,37.09,-95.71,738,most common,Light Amount
